ID	Start_time	End_time	Completion_time(S)	Completion_time(MS)	Distance_travelled	Average_speed	Total_stops	Number_of_rotations	Total_rotation	Time_T1	Gender	Condition
user4	2.10.2020 14.52.56	2.10.20 14.58.58	362	6m 2s	900	2.484195	72	553	24885	36	F	B
user5	2.10.2020 15.16.45	2.10.20 15.19.06	140.84	2m 21s	305.7492	2.170898	35	704	31680	16.68	F	A
user6	2.10.2020 15.37.34	2.10.20 15.40.22	167.62	2m 48s	556	3.31	31	109	4905	32.82	M	C
user7	2.10.2020 15.57.48	2.10.20 15.59.10	82.4399	1m 22s	240.5454	2.917824	13	60	2700	15	M	B
user8	2.10.2020 16.23.57	2.10.20 16.25.49	111.9	1m 52s	343.4068	3.068872	37	100	4500	54.08	F	B
user9	2.10.2020 16.47.32	2.10.20 16.49.04	92.12	1m 32s	426.3542	4.628248	7	301	13545	9.62	M	A
user10	2.11.2020 12.26.54	2.11.20 12.28.35	100.52	1m 41s	340.6072	3.388452	4	62	2790	21	M	C
user11	2.11.2020 12.52.13	2.11.20 12.56.16	243	4m 3s	650	2.674101	16	138	6210	19	F	C
user12	2.11.2020 13.20.44	2.11.20 13.22.35	111	1m 51s	277	2.487684	22	68	3060	17	F	A
user13	2.11.2020 13.43.46	2.11.20 13.46.49	183	3m 3s	554	3.02	21	398	17910	30	F	A
user14	2.11.2020 14.07.32	2.11.20 14.09.20	108	1m 48s	350	3.214881	8	122	5490	21	M	B
user15	2.11.2020 14.47.32	2.11.20 14.48.45	72.8	1m 13s	239	3.294461	17	97	4365	0	M	A
user16	2.11.2020 15.11.40	2.11.20 15.14.41	181	3m 1s	652	3.590118	19	363	16335	19	M	A
user17	2.11.2020 15.40.15	2.11.20 15.44.43	268	4m 28s	839	3.122466	52	437	19665	18	F	A
user18	2.12.2020 14.38.18	2.12.2020 14.44.47	389.08	6m 29s	1193.902	3.068525	137	314	14130	68.56	F	A
user19	2.12.2020 15.05.28	2.12.2020 15.06.28	60	1m	334.5583	5.583416	3	97	4365	9.12	M	A
user20	2.12.2020 15.42.09	2.12.2020 15.51.27	558.7	9m 18s	888	1.590755	220	197	8865	49.94	M	A
user28	2.27.2020 13.20.20	2.27.2020 13.24.49 		259								
user29	2.27.2020 13.55.03	2.27.2020 13.57.03 		115								
user30	2.27.2020 14.26.06	2.27.2020 14.28.06 		131								
user31	2.27.2020 15.20.35	2.27.2020 15.21.35		59								
user32	2.28.2020 13.22.05	2.28.2020 13.23.06 		65								
user33	2.28.2020 14.15.50	2.28.2020 14.19.33		224								
user34	2.28.2020 15.09.40	2.28.2020 15.12.16 		156								
user35	3.3.2020 12.41.00	3.3.2020 12.42.08		74								
user36	3.3.2020 13.12.00	3.3.2020 13.15.46 		226								